UNO Synth Pro MIDI Monitor v1.1 State Read
UNO IN: 0: UNO Synth Pro
UNO OUT: 1: UNO Synth Pro
EDITOR OUT/TAP IN: 1: UNO_TAP
EDITOR IN/RETURN OUT: 3: UNO_RETURN
Clock captured: False
Active Sense captured: False
REC	TIME	DIRECTION	TYPE	BYTES	HEX	DECODED
66	6.531415	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 40 41 46 54 45 52 20 53 59 4E 43 00 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
67	6.561228	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 41 43 4C 41 53 53 20 53 54 52 49 4E 47 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
68	6.591705	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 42 49 4E 54 4F 20 54 48 45 20 42 4C 55 45 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
69	6.627601	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 43 4A 41 52 20 50 4C 55 43 4B 00 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
70	6.657119	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 44 45 53 50 52 45 53 53 49 56 4F 00 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
71	6.686442	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 45 53 57 45 45 45 45 45 45 45 45 45 45 50 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
72	6.715403	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 46 42 45 4C 4F 57 20 42 41 53 53 00 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
73	6.746584	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 47 48 45 41 56 59 20 54 4F 52 51 55 45 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
74	6.779990	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 48 51 55 49 43 4B 4C 59 20 4E 4F 57 00 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
75	6.810132	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 49 57 48 45 45 4C 20 4C 45 41 44 00 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
76	6.845502	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 4A 4D 45 41 4E 54 45 44 44 59 00 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
77	6.873172	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 4B 47 4C 41 53 53 20 4B 45 59 53 00 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
78	6.901324	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 4C 57 45 45 4B 45 4E 44 20 50 41 44 00 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
79	6.901661	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 4D 41 42 42 41 20 44 4F 4E 00 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
80	6.938114	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 4E 41 51 55 41 2D 54 52 49 00 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
81	6.970730	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 4F 50 45 41 52 4C 53 00 20 20 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
82	7.000387	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 50 50 55 4E 43 48 20 42 41 53 53 20 34 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
83	7.030016	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 51 53 48 41 44 59 20 42 41 53 53 00 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
84	7.059462	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 52 4C 55 43 4B 59 00 20 20 20 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
85	7.092755	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 53 57 41 52 4D 20 41 52 50 45 47 47 49 4F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
86	7.118438	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 54 42 49 47 4C 45 42 4F 57 53 4B 49 00 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
87	7.144048	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 55 54 48 41 20 50 41 44 00 20 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
88	7.170092	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 56 44 49 53 54 4F 50 49 41 4E 00 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
89	7.197914	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 57 42 45 47 49 4E 00 20 20 20 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
90	7.224307	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 58 46 52 4F 4D 20 49 4E 53 49 44 45 00 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
91	7.262245	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 59 50 41 43 2D 57 4F 4D 41 4E 00 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
92	7.301706	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 5A 46 41 53 53 20 42 4D 00 20 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
93	7.332146	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 5B 50 55 4E 43 48 20 42 41 53 53 20 32 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
94	7.360858	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 5C 42 41 53 53 20 41 4E 44 20 44 52 55 4D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
95	7.388724	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 5D 54 49 54 41 4E 49 43 20 53 59 4E 43 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
96	7.419425	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 5E 4F 43 54 41 56 45 53 20 4C 45 41 44 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
97	7.447952	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 5F 53 4F 46 54 20 43 48 4F 49 52 20 4D 57 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
